id;text;type;value
3976e316-151f-4a2d-9128-b589883d29c4;linseed unfurl;PERCENT;27483.44
1f875635-c968-48ae-9c29-e59c2f626a52;mmm chatter trench;FIXED;9372.75
4739e356-5ba5-44bc-8ff7-0526c9031e79;during;FIXED;13157.03
10a3279d-c42a-4131-a2e0-99f9df67a306;softly lecture;PERCENT;20157.58
3ed4f5d0-94c0-439a-9cad-a8de85480e4d;before forenenst sans;FIXED;25528.76
d256a84f-2cc6-400b-9435-690a0222eb6c;brook huzzah;FIXED;16590.7
43d404be-eac2-4de2-957e-f24ebb647896;unto drug;PERCENT;30762.66
a6d6ad6b-409a-4c46-897f-09c438afa300;excepting notwithstanding wherever;PERCENT;9389.5
e2ed0016-103b-47e5-a8b4-dfdd6105e52f;loosely through;FIXED;7795.5
d15c4af3-d397-4cc3-94ea-709652a2b500;um;FIXED;16464.79
